domain,type
www.imsilkroad.com,government
www.cdc.gov,government
www.ecdc.europa.eu,government
covid19.who.int,government
www.data.gouv.fr,government
www.sccgov.org,government
www.commerce.wa.gov,government
www.health.state.mn.us,government
www.sante.fr,government
wwwnc.cdc.gov,government
coronavirus.marinhhs.org,government
www.nytimes.com,news
www.bbc.com,news
www.economist.com,news
www.thepaper.cn,news
www.ft.com,news
graphics.reuters.com,news
database.caixin.com,news
www.bbc.co.uk,news
scitechdaily.com,news
www.washingtonpost.com,news
projects.thecity.nyc,news
www.desmoinesregister.com,news
activity.peopleapp.com,news
www.ajc.com,news
news.ifeng.com,news
edition.cnn.com,news
www.npr.org,news
www.buzzfeednews.com,news
wpln.org,news
thanhnien.vn,news
fms.news.cn,news
www.usatoday.com,news
economist.com,news
www.wfla.com,news
public.tableau.com,corporation
www.pewresearch.org,corporation
www.visualcapitalist.com,forum
public.flourish.studio,forum
ourworldindata.org,unknown
coronavirus.jhu.edu,school
authorea.com,corporation
medium.com,unknown
www.youtube.com,video_platform
vis.pku.edu.cn,school
kieranhealy.org,individual
covidtracking.com,organization
theuscovidatlas.org,school
tianchi.aliyun.com,forum
experience.arcgis.com,unknown
dangoodspeed.com,individual
storymaps.arcgis.com,unknown
www.jiqizhixin.com,unknown
eagereyes.org,individual
peymankor.netlify.app,individual
towardsdatascience.com,organization
covid19tokyo.live,individual
www.cyyun.com,corporation
blogs.newschool.edu,school
discover.cirium.com,corporation
revealnews.org,corporation
blog.ncase.me,individual
advances.sciencemag.org,journal
www.sharpsightlabs.com,unknown
cdmuir.netlify.app,individual
www.endcoronavirus.org,organization
github.com,unknown
www.kff.org,organization
jamalrogersapp.shinyapps.io,individual
roc.covid.mathisonian.com,individual
outbreak.info,individual
www.linkedin.com,unknown
www.thomasnet.com,corporation
www.artdesign.org.cn,unknown
www.fastcompany.com,corporation
timchurches.github.io,individual
www.cashin.ru,individual
i.snssdk.com,unknown
depts.washington.edu,school
science.sciencemag.org,journal
blogs.sas.com,corporation
www.nejm.org,journal
covid.yale.edu,school
ctbergstrom.com,individual
disparitydialogues.wixsite.com,unknown
ncovis.github.io,unknown
community.powerbi.com,forum
systrom.com,individual
www.nationalgeographic.com,magazine
robjhyndman.com,individual
random-sample.com,individual
www.rti.org,corporation
petolau.shinyapps.io,individual
pybit.es,unknown
www.evaluate.com,corporation
www.descarteslabs.com,corporation
www.covid-19vaccinetracker.org,organization
www.wsbeng.com,corporation
www.weforum.org,organization
www.liveearth.com,unknown
cuepi.shinyapps.io,individual
developer.aliyun.com,forum
ppi.zoiclabs.io,school
inciteprojects.idea.rpi.edu,school
covidspreadingrates.org,unknown
covid-19.splunkforgood.com,unknown
carlsonschool.umn.edu,school
info.51.ca,unknown
donahue.umass.edu,school
www.ipr.northwestern.edu,school
dashboards.sdgindex.org,unknown
www.r-bloggers.com,forum
www2.deloitte.com,corporation
blog.grattan.edu.au,school
covid-tracker.mckinsey.com,corporation
www.healthmap.org,organization
covidprisondata.com,individual
knowherenews.com,unknown
www.poundsterlinglive.com,corporation
pennstate.maps.arcgis.com,unknown
sgwuhan.xose.net,unknown
www.bilibili.com,video_platform
www.nature.com,journal
perone.github.io,individual
www.kaggle.com,corporation
www.rcrcmagazine.org,organization
uvalibrary.maps.arcgis.com,unknown
trend.aminer.cn,unknown
locomotive.agency,corporation
rpubs.com,forum
www.anychart.com,corporation
www.covidsim.org,school
bq-magazine.com,magazine
analyzecore.com,individual
thefern.org,organization
sophieehill.shinyapps.io,individual
covid19.biglocalnews.org,school
tweets.covid19misinfo.org,unknown
lifelines.periscopic.com,corporation
globalepidemics.org,school
twitter.com,social_media
mp.weixin.qq.com,social_media
m.weibo.cn,social_media
www.facebook.com,social_media
weibo.com,social_media
